City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
211,Jieshi,CN,82.35,scattered clouds,22.8134,115.8257,Yuehai Hotel
214,Kousseri,CM,80.56,overcast clouds,12.0769,15.0306,Le Pilotis
215,Izumo,JP,80.55,clear sky,35.3667,132.7667,Toyoko-Inn Izumoshi ekimae
217,Kahului,US,83.46,few clouds,20.8947,-156.47,Maui Seaside Hotel
218,Zaidpur,IN,87.87,scattered clouds,26.8333,81.3333,LAAL KOTHI ZAIDPUR
220,Bengkulu,ID,81.91,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
221,Jinan,CN,94.62,light rain,36.6683,116.9972,Shandong Grand Tower Hotel
225,Goderich,CA,76.21,clear sky,43.7501,-81.7165,Harmony Inn
232,Harper,LR,77.7,light rain,4.375,-7.7169,Screensaver
235,Mayo,US,79.57,clear sky,38.8876,-76.5119,Resorts Resource Group International
236,Maluso,PH,87.89,overcast clouds,6.543,121.8753,
239,Diu,IN,86.7,few clouds,20.7141,70.9822,Hotel Relax Inn
240,Zhuhai,CN,87.71,few clouds,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
241,Faanui,PF,80.87,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
244,Labuhan,ID,86.02,clear sky,-6.8844,112.2051,PT PPI Lamongan Tambak C
245,Boyolangu,ID,84.83,few clouds,-8.1181,111.8935,Yos ega cv
246,Merauke,ID,80.62,overcast clouds,-8.4667,140.3333,
248,Yushan,CN,91.94,clear sky,31.3776,120.9543,Swissotel Kunshan
250,Kavieng,PG,82.78,moderate rain,-2.5744,150.7967,Nusa Island Retreat
254,Grand Forks,US,85.93,scattered clouds,47.9417,-97.4337,Warrior Inn
257,Rong Kwang,TH,85.48,overcast clouds,18.339,100.3174,Rong Kwang Hotel
258,Palmer,US,77.41,broken clouds,42.1584,-72.3287,Wedgewood Motel
261,Meulaboh,ID,81.82,overcast clouds,4.1363,96.1285,Kost Pria
268,Labuan,MY,86.16,scattered clouds,5.2767,115.2417,Tiara Labuan Hotel
269,Tautira,PF,82.42,light rain,-17.7333,-149.15,Pension Oaoa
271,Mandalgovi,MN,75.81,few clouds,45.7625,106.2708,В.Ганбат
272,Pedasi,PA,80.24,overcast clouds,7.5333,-80.0333,Selina Pedasi
275,Hami,CN,79.74,broken clouds,42.8,93.45,Laoyutang Resort
276,Naifaru,MV,82.83,overcast clouds,5.4444,73.3657,Naifaru Residence Guest House
279,Daru,PG,78.42,overcast clouds,-9.0763,143.2092,Daru Lodge
280,Cayenne,GF,76.08,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
287,Biltine,TD,81.27,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
288,Carnarvon,AU,80.67,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
289,Bairiki,KI,86.0,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
293,Komsomolskiy,UZ,86.72,clear sky,40.4272,71.7189,Ikathouse
296,Xian,CN,88.61,overcast clouds,34.2583,108.9286,Grand New World Hotel
297,Umm Kaddadah,SD,81.77,scattered clouds,13.6017,26.6876,
299,Neyshabur,IR,86.0,clear sky,36.2133,58.7958,Amiran Hotel
301,Namatanai,PG,84.02,light rain,-3.6667,152.4333,Seagulls Inn Namatani
303,La Asuncion,VE,76.73,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
307,Nemuro,JP,77.43,overcast clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
308,Kattivakkam,IN,86.07,overcast clouds,13.2167,80.3167,Raj's villa
309,Del Rio,US,84.31,clear sky,29.3627,-100.8968,"Holiday Inn Express & Suites del Rio, an IHG Hotel"
311,Monrovia,LR,76.77,overcast clouds,6.3005,-10.7969,Sunset Inn
313,Sao Miguel Do Araguaia,BR,77.23,overcast clouds,-13.275,-50.1628,Hotel Executivo Palace
317,Sardhana,IN,94.51,scattered clouds,29.15,77.6167,Satenderkumar
318,Marsh Harbour,BS,78.57,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
322,Sulangan,PH,83.16,broken clouds,11.1373,123.7228,Maia's Beach Resort
331,Ocos,GT,83.32,broken clouds,14.5094,-92.1933,Auto Hotel El Soñador
335,Itarema,BR,76.19,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
340,Ust-Nera,RU,76.8,overcast clouds,64.5667,143.2,Hotel Ust-Nera
341,Tura,IN,82.47,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
347,Sola,VU,86.67,broken clouds,-13.8833,167.55,Leumerus Bungalows
351,Finschhafen,PG,84.09,broken clouds,-6.6024,147.8681,Cossam Guest House
356,Porto Velho,BR,77.05,overcast clouds,-8.7619,-63.9039,Hotel Central
358,Diapaga,BF,79.27,light rain,12.0708,1.7889,
359,Nieuw Nickerie,SR,77.94,broken clouds,5.95,-56.9833,Ishwardat Inn
360,Pontianak,ID,78.78,heavy intensity rain,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
364,Kosonsoy,UZ,75.76,clear sky,41.2561,71.5508,"Гостиница ""Goldstar'"
366,Artesia,US,78.98,clear sky,33.8658,-118.0831,Days Inn & Suites by Wyndham Artesia
367,Moa,CU,79.74,scattered clouds,20.6569,-74.9403,Carmen
368,Pishin,PK,79.38,clear sky,30.5803,66.9961,City Hotel Pishin
375,Matamoros,MX,86.11,clear sky,25.5333,-103.25,Quinta Belem
377,Galesong,ID,91.42,clear sky,-5.3166,119.3661,Sapriadi Appy
380,Panaba,MX,79.68,overcast clouds,21.2833,-88.2667,Posada rosario
381,Lamu,KE,76.69,light rain,-2.2717,40.902,Lamu House
385,Kalmunai,LK,82.04,overcast clouds,7.4167,81.8167,VS Villa
387,Puri,IN,90.12,clear sky,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
390,Darhan,MN,76.55,overcast clouds,49.4867,105.9228,Buudai Hotel
395,Deogarh,IN,94.26,clear sky,21.5333,84.7333,RM Hostel
396,Ningxiang,CN,84.88,broken clouds,37.34,111.2052,IU Hotel Luliang Xiaoyi Zhenxing Street
401,Gorontalo,ID,87.6,few clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
403,Sur,OM,88.36,scattered clouds,22.5667,59.5289,Sur Plaza Hotel
405,Looc,PH,82.29,overcast clouds,12.2605,121.9926,Cummings Highlands
406,Carutapera,BR,75.36,broken clouds,-1.195,-46.02,Lidera
410,Bara,NG,78.17,overcast clouds,10.3744,10.7288,
411,Eyl,SO,78.57,overcast clouds,7.9803,49.8164,Amiin Hotel
413,San Angelo,US,78.55,clear sky,31.4638,-100.437,"Motel 6 San Angelo, TX"
415,Buenaventura,CO,75.61,overcast clouds,3.8801,-77.0312,La Casa Blanca Hotel
421,Axim,GH,77.05,moderate rain,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
426,Koungheul,SN,82.65,few clouds,13.9833,-14.8,
430,Erenhot,CN,75.61,moderate rain,43.6475,111.9767,Erenhot Rurouni Youth Hostel
431,Kitahiroshima,JP,78.66,clear sky,42.9758,141.5672,Sapporo Kitahiroshima Classe Hotel
432,Letpadan,MM,92.75,broken clouds,17.7833,95.75,Ko Arkar Lin
434,Kavaratti,IN,82.87,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
435,Vinh,VN,83.28,overcast clouds,18.6667,105.6667,Khách Sạn Thương Mại
445,Bonthe,SL,79.65,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
448,Lorengau,PG,80.11,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
451,Bhimunipatnam,IN,89.11,few clouds,17.8833,83.4333,Bheemili Court
452,Arlit,NE,87.28,scattered clouds,18.7369,7.3853,Case de Passage De la Prefecture
456,Galle,LK,82.6,overcast clouds,6.0367,80.217,Amangalla
463,Vanimo,PG,84.34,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
467,Lahij,YE,83.77,clear sky,13.1667,44.5833,
469,Loa Janan,ID,87.42,moderate rain,-0.583,117.095,Pondok hijau 2A
470,Beyneu,KZ,75.06,overcast clouds,45.3167,55.2,NUR
471,Alofi,NU,76.89,scattered clouds,-19.0595,-169.9187,Taloa Heights
474,Houma,US,78.01,broken clouds,29.5958,-90.7195,Courtyard by Marriott Houma
476,Kieta,PG,86.11,clear sky,-6.2167,155.6333,Uruna Bay Retreat
478,Kijang,KR,78.53,clear sky,35.2442,129.2139,Samyang Beach Villa
480,Salvador,SV,76.05,overcast clouds,13.8333,-88.9167,Chico's Ranch
483,Renqiu,CN,91.69,broken clouds,38.6989,116.0936,City Garden Renqiu Meishicheng Store
488,Tomatlan,MX,79.74,overcast clouds,19.9333,-105.25,Norma franco
494,Samarai,PG,79.3,overcast clouds,-10.6167,150.6667,Nuli Sapi
496,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
498,Sangareddi,IN,79.09,overcast clouds,17.6294,78.0917,OYO 73247 Cgr Manjeera
499,Mogadishu,SO,78.85,broken clouds,2.0371,45.3438,Hotel Juba
500,Adrar,MR,87.78,few clouds,20.5022,-10.0711,
503,Amga,RU,81.27,overcast clouds,60.8953,131.9608,Algys
505,Pakokku,MM,92.07,broken clouds,21.3333,95.1,Royal Palace Motel
506,Waldoboro,US,75.69,overcast clouds,44.0954,-69.3756,Le Vatout Bed & Breakfast
508,Sinnamary,GF,77.97,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
509,Bouloupari,NC,76.95,overcast clouds,-21.8667,166.05,Oua-Ya Lodge
514,Panguna,PG,82.02,light rain,-6.3164,155.4848,
519,Riyadh,SA,89.74,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
522,Balabac,PH,84.87,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
525,Biak,ID,82.87,scattered clouds,-0.9131,122.8766,Penginapan Kim
526,Mirabad,AF,93.54,clear sky,30.4362,61.8383,
536,Tchollire,CM,75.92,overcast clouds,8.4022,14.1698,"Auberge ""l'amicale"""
541,Mangan,IN,78.94,overcast clouds,27.5167,88.5333,Hotel Mout View
544,Ramnagar,IN,92.5,clear sky,29.4,79.1167,Leisure Vacation Myrica Hotel
546,San Pedro,PH,89.35,scattered clouds,14.35,121.0167,OYO 412 Viewfort Venue
550,Kidal,ML,88.52,broken clouds,18.4411,1.4078,
554,Nieuw Amsterdam,SR,77.16,broken clouds,5.8833,-55.0833,Globe Hotel
559,Haverhill,US,80.33,clear sky,42.7762,-71.0773,Best Western Merrimack Valley
562,Zabol,AF,75.04,clear sky,32.25,67.25,
563,Mecca,SA,80.04,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
565,Enshi,CN,84.15,broken clouds,30.3,109.4833,Moevenpick Enshi
567,Puerto Carreno,CO,75.6,few clouds,6.189,-67.4859,Casa Hotel Victoria
568,Jesus Carranza,MX,79.72,overcast clouds,17.4333,-95.0333,Departamento Doris
573,Russell,US,76.71,overcast clouds,32.3502,-85.1999,Macs
574,Jacqueville,CI,80.51,light rain,5.2052,-4.4146,Hotel Le Martin Pecheur
577,Bilma,NE,90.77,overcast clouds,18.6853,12.9164,Expeditions Ténére voyages
581,Kharsawan,IN,90.79,broken clouds,22.8,85.8333,Mohan pusty HOME
583,Maryville,US,77.2,light rain,35.7565,-83.9705,"Holiday Inn Express & Suites Alcoa (Knoxville Airport), an IHG Hotel"
584,Stonewall,CA,78.57,broken clouds,50.1344,-97.3268,Rockwood Motor Inn & Motel
586,Pasni,PK,84.02,overcast clouds,25.2631,63.471,Kashmiri Hotal
587,Tevaitoa,PF,80.87,few clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
590,Karratha,AU,79.02,broken clouds,-20.7377,116.8463,ibis Styles Karratha
592,Ishigaki,JP,80.73,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
593,Chifeng,CN,75.15,clear sky,42.2683,118.9636,Junyu Tiancheng Hotel
601,Mitsamiouli,KM,78.69,broken clouds,-11.3847,43.2844,Foyer ADM
609,Karaton,ID,84.36,few clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
611,Gamba,GA,75.2,overcast clouds,-2.65,10.0,
612,Puerto Madero,MX,80.8,scattered clouds,14.7208,-92.4215,Hotel La Central
615,Tabou,CI,77.4,light rain,4.423,-7.3528,hotêl doufoulougou
616,Nioro,GM,79.07,clear sky,13.35,-15.75,
619,Cockburn Town,TC,80.04,clear sky,21.4612,-71.1419,Osprey Beach Hotel
620,Dandong,CN,75.13,few clouds,40.1292,124.3947,Yiranju Farmstay
623,Sterling,US,78.6,few clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
625,Laguna,US,89.42,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
626,Port Blair,IN,85.44,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
628,Ahuimanu,US,83.91,broken clouds,21.4447,-157.8378,Paradise Bay Resort
629,Umm Lajj,SA,79.68,clear sky,25.0213,37.2685,Moon light Furnished Units
632,Mardan,PK,86.54,broken clouds,34.2019,72.0525,Khyber tobacco
635,Lander,US,76.06,clear sky,42.833,-108.7307,"Holiday Inn Express & Suites Lander, an IHG Hotel"
636,Dafeng,CN,86.14,clear sky,23.4517,108.5881,Shenglong Hotel
639,Tahe,CN,76.19,clear sky,52.3333,124.7333,塔河宾馆
640,Bubaque,GW,79.32,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
641,Kupang,ID,86.58,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
643,Minab,IR,89.1,scattered clouds,27.1467,57.0801,Bam campground
645,Ust-Maya,RU,78.64,overcast clouds,60.4167,134.5333,
648,Uruzgan,AF,80.46,clear sky,32.8333,66.0,
650,Roura,GF,75.96,scattered clouds,4.7263,-52.3274,Amazonie Découverte SARL
652,Nisia Floresta,BR,75.58,broken clouds,-6.0911,-35.2086,Rancho Crepusculo
659,San Policarpo,PH,83.64,broken clouds,12.1791,125.5072,JM Lodge
663,West Point,US,75.27,overcast clouds,33.6076,-88.6503,Hampton Inn & Suites West Point
666,Waingapu,ID,83.77,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
667,Vaijapur,IN,79.45,overcast clouds,19.9167,74.7333,HOTEL MATOSHRI
668,Aswan,EG,76.23,clear sky,24.0934,32.907,Nuba Nile
673,Muzaffarabad,PK,80.8,scattered clouds,34.37,73.4711,Pearl Continental Muzaffarabad
675,Dawei,MM,78.26,overcast clouds,14.0833,98.2,Hotel Dawei
677,Conceicao Do Araguaia,BR,80.73,clear sky,-8.2578,-49.2647,Tarumã Tropical Hotel
679,Port-Gentil,GA,78.6,light rain,-0.7193,8.7815,Fengshui Residence
681,Pangai,TO,78.91,few clouds,-19.8,-174.35,Ha'apai Beach Resort
682,Mastic Beach,US,81.39,clear sky,40.7668,-72.8521,Brushwood House by Smith Point Beach
687,Sabla,NG,84.78,overcast clouds,12.7525,4.7077,
