City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
62,Carnarvon,AU,2021-05-30 05:37:13,-24.8667,113.6333,71.67,68,40,13.8
63,Gladstone,AU,2021-05-30 05:37:14,-23.85,151.25,73.33,40,77,13.8
64,San Policarpo,PH,2021-05-30 05:37:14,12.1791,125.5072,85.46,71,99,7.11
65,Tecolutla,MX,2021-05-30 05:37:14,20.4833,-97.0167,80.06,83,7,7.45
66,Shimoda,JP,2021-05-30 05:37:14,34.6667,138.95,75.11,57,100,15.12
67,East London,ZA,2021-05-30 05:37:15,-33.0153,27.9116,57.78,82,73,13.82
68,Aykhal,RU,2021-05-30 05:37:15,66.0,111.5,61.11,40,20,13.44
69,Neyshabur,IR,2021-05-30 05:37:15,36.2133,58.7958,88.74,12,0,4.18
70,Kahului,US,2021-05-30 05:37:15,20.8947,-156.47,78.82,79,40,9.22
71,Terrace Bay,CA,2021-05-30 05:37:16,48.7834,-87.1,35.22,70,47,2.91
72,Yellowknife,CA,2021-05-30 05:37:16,62.456,-114.3525,46.56,61,75,4.61
73,Afyonkarahisar,TR,2021-05-30 05:37:16,38.75,30.6667,60.3,63,0,8.68
74,Praia Da Vitoria,PT,2021-05-30 05:37:16,38.7333,-27.0667,61.75,94,40,10.74
75,Ushuaia,AR,2021-05-30 05:36:42,-54.8,-68.3,28.06,93,75,24.16
76,Berlevag,NO,2021-05-30 05:35:47,70.8578,29.0864,41.05,87,100,28.48
77,Port Alfred,ZA,2021-05-30 05:37:17,-33.5906,26.891,58.35,76,83,9.01
78,Palu,ID,2021-05-30 05:37:17,-0.8917,119.8707,87.06,71,95,4.45
79,Yar-Sale,RU,2021-05-30 05:37:17,66.8333,70.8333,49.64,48,88,9.62
80,Zavodoukovsk,RU,2021-05-30 05:37:18,56.5042,66.5515,77.88,31,63,12.8
81,Vila Velha,BR,2021-05-30 05:37:18,-20.3297,-40.2925,75.15,91,0,5.01
82,Hilo,US,2021-05-30 05:36:30,19.7297,-155.09,75.79,88,75,8.05
83,Emerald,AU,2021-05-30 05:37:18,-23.5333,148.1667,75.34,23,11,9.22
84,Longyearbyen,SJ,2021-05-30 05:37:19,78.2186,15.6401,31.84,74,75,2.3
85,Dryden,CA,2021-05-30 05:37:19,49.7833,-92.7503,57.49,47,90,9.22
86,Provideniya,RU,2021-05-30 05:37:19,64.3833,-173.3,45.91,44,6,4.61
87,Marrakesh,MA,2021-05-30 05:33:02,31.6315,-8.0083,69.87,68,40,5.75
88,Komsomolskiy,UZ,2021-05-30 05:37:19,40.4272,71.7189,86.72,26,0,9.22
89,Caramay,PH,2021-05-30 05:37:20,10.1815,119.236,86.52,69,74,1.1
90,Pevek,RU,2021-05-30 05:37:20,69.7008,170.3133,42.89,53,0,4.16
91,Atuona,PF,2021-05-30 05:37:20,-9.8,-139.0333,79.32,70,34,8.28
92,Guiberoua,CI,2021-05-30 05:37:20,6.2392,-6.1727,72.09,99,85,0.87
93,Cururupu,BR,2021-05-30 05:37:21,-1.8283,-44.8683,73.69,96,37,1.81
94,Ust-Uda,RU,2021-05-30 05:37:21,54.1742,103.0304,46.31,40,97,11.79
95,Karachi,PK,2021-05-30 05:37:05,24.9056,67.0822,93.02,55,75,17.27
96,Isangel,VU,2021-05-30 05:37:21,-19.55,169.2667,71.76,72,100,7.29
97,Lucea,JM,2021-05-30 05:37:21,18.451,-78.1736,78.66,79,5,4.81
98,Newcastle,AU,2021-05-30 05:33:44,-32.9272,151.7765,63.18,75,90,5.99
99,Seoul,KR,2021-05-30 05:34:50,37.5683,126.9778,78.31,37,0,3.04
100,Lebu,CL,2021-05-30 05:37:22,-37.6167,-73.65,49.06,75,56,3.78
101,Guerrero Negro,MX,2021-05-30 05:37:22,27.9769,-114.0611,59.5,83,82,16.11
102,Kovdor,RU,2021-05-30 05:37:22,67.5662,30.4758,45.93,55,98,6.13
103,Norman Wells,CA,2021-05-30 05:37:22,65.282,-126.8329,41.04,70,75,3.44
104,Port Macquarie,AU,2021-05-30 05:37:23,-31.4333,152.9167,62.89,75,76,13.89
105,Port Augusta,AU,2021-05-30 05:37:23,-32.5,137.7667,65.71,22,3,5.5
106,Bengkulu,ID,2021-05-30 05:37:23,-3.8004,102.2655,84.16,69,97,6.33
107,Amuntai,ID,2021-05-30 05:37:23,-2.4177,115.2494,92.37,49,55,3.27
108,Bethel,US,2021-05-30 05:37:24,41.3712,-73.414,47.55,85,90,1.01
109,Cape Town,ZA,2021-05-30 05:34:03,-33.9258,18.4232,54.12,100,23,4.94
110,Qaqortoq,GL,2021-05-30 05:37:24,60.7167,-46.0333,37.9,98,100,4.25
111,Paraiso,CR,2021-05-30 05:37:24,9.8383,-83.8656,66.42,96,98,1.34
112,Molina,CL,2021-05-30 05:37:24,-35.1167,-71.2833,46.13,87,90,3.44
113,Hovd,MN,2021-05-30 05:37:25,48.0056,91.6419,55.87,33,39,8.63
114,Kaitangata,NZ,2021-05-30 05:37:25,-46.2817,169.8464,50.22,98,100,11.3
115,Rio Grande,BR,2021-05-30 05:37:25,-32.035,-52.0986,40.95,74,1,12.71
116,Jinchang,CN,2021-05-30 05:37:25,38.4953,102.1739,86.04,9,1,9.86
117,Chifeng,CN,2021-05-30 05:37:26,42.2683,118.9636,76.17,32,36,3.53
118,Tiksi,RU,2021-05-30 05:37:26,71.6872,128.8694,35.89,85,14,8.43
119,Cidreira,BR,2021-05-30 05:37:26,-30.1811,-50.2056,52.63,70,9,9.35
120,Sao Joao Da Barra,BR,2021-05-30 05:37:26,-21.6403,-41.0511,73.87,80,80,5.23
121,Tulum,MX,2021-05-30 05:37:27,20.2167,-87.4667,75.61,92,31,5.95
122,Sao Filipe,CV,2021-05-30 05:37:27,14.8961,-24.4956,72.0,79,96,10.47
123,Saldanha,ZA,2021-05-30 05:37:27,-33.0117,17.9442,46.45,84,0,3.74
124,Saint George,US,2021-05-30 05:37:27,37.1041,-113.5841,80.35,16,1,3.0
125,Nicoya,CR,2021-05-30 05:37:28,10.1483,-85.452,76.55,85,98,2.95
126,Ignacio Zaragoza,MX,2021-05-30 05:37:28,28.3833,-107.2167,61.75,25,63,4.47
127,General Roca,AR,2021-05-30 05:37:28,-39.0333,-67.5833,37.8,60,22,8.32
128,Muisne,EC,2021-05-30 05:37:28,0.6,-80.0333,75.42,88,74,5.35
129,Lagoa,PT,2021-05-30 05:37:29,39.05,-27.9833,62.62,77,47,7.92
130,Nyurba,RU,2021-05-30 05:37:29,63.2842,118.3319,70.7,27,31,10.16
131,Nanortalik,GL,2021-05-30 05:37:29,60.1432,-45.2371,33.98,99,100,7.65
132,Honiara,SB,2021-05-30 05:37:29,-9.4333,159.95,80.26,86,75,2.17
133,Marsa Matruh,EG,2021-05-30 05:37:30,31.3525,27.2453,70.0,83,0,6.91
134,Gizo,SB,2021-05-30 05:37:30,-8.103,156.8419,80.69,82,99,9.4
135,Bousso,TD,2021-05-30 05:37:30,10.4795,16.7117,87.93,35,31,7.14
136,Plettenberg Bay,ZA,2021-05-30 05:37:30,-34.0527,23.3716,55.65,81,100,4.25
137,Matay,EG,2021-05-30 05:37:31,28.419,30.7792,82.26,31,65,7.58
138,Jamestown,US,2021-05-30 05:36:51,42.097,-79.2353,47.79,93,90,1.01
139,Labuhan,ID,2021-05-30 05:37:31,-6.8844,112.2051,86.68,63,61,7.02
140,Deputatskiy,RU,2021-05-30 05:37:31,69.3,139.9,54.72,34,81,18.1
141,New Norfolk,AU,2021-05-30 05:37:31,-42.7826,147.0587,54.57,52,2,1.9
142,Manicore,BR,2021-05-30 05:37:32,-5.8092,-61.3003,77.88,74,99,1.86
143,Constitucion,CL,2021-05-30 05:37:32,-35.3333,-72.4167,48.92,78,66,6.89
144,Yenagoa,NG,2021-05-30 05:37:32,4.9247,6.2642,76.71,93,77,2.51
145,Trincomalee,LK,2021-05-30 05:37:32,8.5711,81.2335,91.0,58,99,12.95
146,Chuy,UY,2021-05-30 05:37:33,-33.6971,-53.4616,41.13,68,56,9.6
147,Zhezkazgan,KZ,2021-05-30 05:37:33,47.8043,67.7144,88.47,17,32,13.18
148,Kenai,US,2021-05-30 05:35:17,60.5544,-151.2583,48.02,93,90,17.27
149,Nuevo Progreso,MX,2021-05-30 05:37:33,23.1667,-97.95,80.6,95,75,4.76
150,Cangzhou,CN,2021-05-30 05:37:33,38.3167,116.8667,82.47,20,28,10.22
151,Henties Bay,NA,2021-05-30 05:37:34,-22.116,14.2845,58.6,88,56,5.41
152,Joseni,RO,2021-05-30 05:37:34,46.7,25.5,49.93,84,88,5.57
153,Maltahohe,NA,2021-05-30 05:37:34,-24.8333,16.9833,51.49,40,3,6.2
154,Tessalit,ML,2021-05-30 05:37:34,20.1986,1.0114,88.97,8,68,2.17
155,Belaya Gora,RU,2021-05-30 05:37:35,68.5333,146.4167,65.41,30,14,16.53
156,Clyde River,CA,2021-05-30 05:37:35,70.4692,-68.5914,21.43,93,1,3.44
157,Andili,PH,2021-05-30 05:37:35,7.462,125.9701,86.72,89,100,2.75
158,Avera,US,2021-05-30 05:37:35,33.194,-82.5271,68.68,76,41,7.18
159,North Bend,US,2021-05-30 05:37:36,43.4065,-124.2243,53.85,89,90,11.5
160,Sungairaya,ID,2021-05-30 05:37:36,0.7,108.9,89.02,61,26,6.13
161,Verkhoyansk,RU,2021-05-30 05:37:36,67.5447,133.385,54.32,48,98,5.19
162,Upernavik,GL,2021-05-30 05:37:36,72.7868,-56.1549,30.54,95,100,15.59
163,Cherskiy,RU,2021-05-30 05:37:36,68.75,161.3,62.04,32,84,8.63
164,Rio Tinto,PT,2021-05-30 05:37:37,41.1826,-8.5581,62.37,95,75,5.99
165,Pangnirtung,CA,2021-05-30 05:34:45,66.1451,-65.7125,17.92,87,11,6.06
166,Chichihualco,MX,2021-05-30 05:37:37,17.6833,-99.65,69.78,83,92,6.04
167,Uyuni,BO,2021-05-30 05:37:37,-20.4597,-66.825,35.96,27,98,9.48
168,Bilma,NE,2021-05-30 05:37:37,18.6853,12.9164,86.76,9,2,7.74
169,La Ronge,CA,2021-05-30 05:37:38,55.1001,-105.2842,43.05,81,90,4.61
170,Dubbo,AU,2021-05-30 05:33:52,-32.25,148.6167,64.53,39,0,8.05
171,Whitecourt,CA,2021-05-30 05:37:38,54.1502,-115.6855,48.51,68,73,2.77
172,Inyonga,TZ,2021-05-30 05:37:38,-6.7167,32.0667,66.49,65,48,7.05
173,Maryborough,AU,2021-05-30 05:37:38,-25.5333,152.7,69.12,57,100,10.56
174,Saint-Pierre,RE,2021-05-30 05:37:39,-21.3393,55.4781,80.24,55,0,5.75
175,Vao,NC,2021-05-30 05:37:39,-22.6667,167.4833,70.41,63,79,22.01
176,Ilulissat,GL,2021-05-30 05:37:39,69.2167,-51.1,46.42,31,42,17.27
177,Balkanabat,TM,2021-05-30 05:37:39,39.5108,54.3671,99.77,15,0,9.15
178,Saint-Philippe,RE,2021-05-30 05:37:40,-21.3585,55.7679,80.15,74,1,8.37
179,Egvekinot,RU,2021-05-30 05:37:40,66.3167,-179.1667,42.82,46,10,5.44
180,Iquique,CL,2021-05-30 05:37:40,-20.2208,-70.1431,62.64,80,92,2.8
181,Nome,US,2021-05-30 05:37:40,64.5011,-165.4064,53.67,25,1,21.85
182,Leningradskiy,RU,2021-05-30 05:37:41,69.3833,178.4167,37.31,96,70,5.95
183,Mtwara,TZ,2021-05-30 05:37:41,-10.2667,40.1833,75.49,77,3,6.38
184,Bathsheba,BB,2021-05-30 05:37:41,13.2167,-59.5167,81.21,65,40,19.33
185,Yerbogachen,RU,2021-05-30 05:37:41,61.2767,108.0108,54.93,39,49,8.52
186,Tasiilaq,GL,2021-05-30 05:37:42,65.6145,-37.6368,37.56,98,100,20.33
187,Mlimba,TZ,2021-05-30 05:37:42,-8.8,35.8167,72.59,69,17,1.66
188,Airai,TL,2021-05-30 05:37:42,-8.9266,125.4092,70.02,65,93,1.43
189,Robertsport,LR,2021-05-30 05:37:42,6.7533,-11.3686,80.92,77,100,2.84
190,Meulaboh,ID,2021-05-30 05:37:43,4.1363,96.1285,75.81,96,100,5.35
191,Pangkalanbuun,ID,2021-05-30 05:37:43,-2.6833,111.6167,94.77,45,20,1.32
192,Chapais,CA,2021-05-30 05:37:43,49.7834,-74.8492,38.98,56,0,3.4
193,Iracoubo,GF,2021-05-30 05:37:43,5.4802,-53.2011,76.23,92,69,6.91
194,Tazovskiy,RU,2021-05-30 05:37:44,67.4667,78.7,50.74,72,99,13.78
195,Elverum,NO,2021-05-30 05:37:44,60.8819,11.5623,60.06,47,11,2.51
196,Qianjiang,CN,2021-05-30 05:37:44,30.4151,112.8859,85.32,53,70,8.1
197,Aquiraz,BR,2021-05-30 05:33:18,-3.9014,-38.3911,80.69,85,81,11.52
198,Tiznit,MA,2021-05-30 05:37:44,29.5833,-9.5,69.31,58,100,2.71
199,Dukat,RU,2021-05-30 05:37:45,62.55,155.55,41.11,66,97,5.95
200,Chokurdakh,RU,2021-05-30 05:37:45,70.6333,147.9167,64.06,25,9,14.63
201,Dabhol,IN,2021-05-30 05:37:45,17.6,73.1667,85.42,67,70,7.16
202,Flin Flon,CA,2021-05-30 05:37:45,54.7682,-101.865,41.18,83,100,10.76
203,Severo-Kurilsk,RU,2021-05-30 05:37:46,50.6789,156.125,40.39,93,100,9.89
204,Codrington,AU,2021-05-30 05:37:46,-38.2667,141.9667,57.83,54,20,3.13
205,Santiago,CL,2021-05-30 05:36:04,-33.4569,-70.6483,59.18,67,20,1.95
206,Mar Del Plata,AR,2021-05-30 05:37:46,-38.0023,-57.5575,44.13,61,11,11.01
207,Lata,PT,2021-05-30 05:37:46,40.1629,-8.3327,57.92,91,10,1.12
208,Abha,SA,2021-05-30 05:37:47,18.2164,42.5053,76.82,27,0,0.92
209,Naples,IT,2021-05-30 05:37:47,40.8333,14.25,67.75,79,75,2.3
210,Teguldet,RU,2021-05-30 05:37:47,57.3064,88.1667,57.99,27,31,4.29
211,Itarema,BR,2021-05-30 05:37:47,-2.9248,-39.9167,75.52,88,24,10.25
212,Torbay,CA,2021-05-30 05:37:48,47.6666,-52.7314,42.58,82,90,10.36
213,Jiexiu,CN,2021-05-30 05:37:48,37.0244,111.9125,92.1,16,61,4.41
214,Lorengau,PG,2021-05-30 05:37:48,-2.0226,147.2712,82.99,81,41,13.49
215,Thinadhoo,MV,2021-05-30 05:37:48,0.5333,72.9333,83.86,72,75,18.9
216,Dalbandin,PK,2021-05-30 05:37:48,28.8947,64.4101,101.23,8,0,7.81
217,Manyana,BW,2021-05-30 05:37:49,-23.4,21.7167,51.73,33,3,5.17
218,Castro,BR,2021-05-30 05:37:49,-24.7911,-50.0119,57.69,97,59,2.66
219,La Romana,DO,2021-05-30 05:37:49,18.4273,-68.9728,76.73,88,0,7.0
220,Bubaque,GW,2021-05-30 05:37:49,11.2833,-15.8333,77.36,73,26,12.88
221,Noyabrsk,RU,2021-05-30 05:37:50,63.1994,75.4507,53.11,82,100,19.84
222,Spitsevka,RU,2021-05-30 05:37:50,45.1231,42.5125,63.01,91,100,7.05
223,Talaya,RU,2021-05-30 05:37:50,61.3833,152.75,47.68,54,88,13.24
224,Saint Simons,US,2021-05-30 05:37:50,31.1352,-81.3901,75.24,70,20,4.61
225,Zhanaozen,KZ,2021-05-30 05:37:51,43.3,52.8,85.51,28,2,5.03
226,Port Hardy,CA,2021-05-30 05:37:51,50.6996,-127.4199,51.98,87,90,3.44
227,Benghazi,LY,2021-05-30 05:37:51,32.1167,20.0667,72.25,71,38,18.52
228,Chicama,PE,2021-05-30 05:37:51,-7.8447,-79.1469,64.78,92,71,3.71
229,Sidhi,IN,2021-05-30 05:37:52,24.4167,81.8833,95.05,39,1,10.8
230,Zonguldak,TR,2021-05-30 05:37:52,41.25,31.8333,54.45,78,54,2.42
231,Mandurah,AU,2021-05-30 05:34:59,-32.55,115.7,63.21,74,54,23.76
232,Sergeyevka,KZ,2021-05-30 05:37:52,53.88,67.4158,81.34,26,20,10.29
233,Souillac,MU,2021-05-30 05:37:52,-20.5167,57.5167,80.37,78,40,8.61
234,Arraial Do Cabo,BR,2021-05-30 05:37:53,-22.9661,-42.0278,74.86,86,41,5.68
235,Asfi,MA,2021-05-30 05:37:53,32.2994,-9.2372,65.93,90,91,2.37
236,Sisophon,KH,2021-05-30 05:37:53,13.5859,102.9737,94.87,47,64,6.35
237,Utete,TZ,2021-05-30 05:37:53,-7.986,38.758,76.5,75,16,1.9
238,Alofi,NU,2021-05-30 05:37:54,-19.0595,-169.9187,78.69,94,37,3.44
239,Kyren,RU,2021-05-30 05:37:54,51.6828,102.1408,45.41,64,100,6.15
240,Christchurch,NZ,2021-05-30 05:36:19,-43.5333,172.6333,52.0,94,75,6.91
241,Pacific Grove,US,2021-05-30 05:35:53,36.6177,-121.9166,56.43,87,90,1.99
242,Anadyr,RU,2021-05-30 05:37:54,64.75,177.4833,52.3,40,0,3.18
243,Roebourne,AU,2021-05-30 05:37:54,-20.7833,117.1333,70.21,71,99,14.12
244,Smithers,CA,2021-05-30 05:33:57,54.7804,-127.1743,57.52,33,90,4.61
245,Manzhouli,CN,2021-05-30 05:37:55,49.6,117.4333,64.98,23,56,14.52
246,Hualmay,PE,2021-05-30 05:35:14,-11.0964,-77.6139,63.79,92,73,7.07
247,Xiashi,CN,2021-05-30 05:37:55,30.5363,120.6864,87.82,53,53,7.09
248,Cochrane,CA,2021-05-30 05:37:55,51.1834,-114.4687,56.44,50,75,1.68
249,Sobolevo,RU,2021-05-30 05:37:56,54.4299,31.8996,48.43,74,100,13.56
250,Ponta Pora,BR,2021-05-30 05:33:52,-22.5361,-55.7256,64.15,86,95,5.59
251,Havelock,US,2021-05-30 05:37:56,34.8791,-76.9013,75.15,90,90,1.01
252,Paamiut,GL,2021-05-30 05:37:56,61.994,-49.6678,34.93,91,99,7.05
253,Demyanovo,RU,2021-05-30 05:37:56,60.3511,47.0842,46.49,44,77,11.9
254,Salalah,OM,2021-05-30 05:37:57,17.0151,54.0924,86.09,84,75,13.8
255,Taoudenni,ML,2021-05-30 05:37:12,22.6783,-3.9836,92.05,11,64,0.65
256,Talnakh,RU,2021-05-30 05:37:57,69.4865,88.3972,32.86,100,82,10.89
257,Ambilobe,MG,2021-05-30 05:37:57,-13.2,49.05,80.89,60,0,3.87
258,Georgetown,MY,2021-05-30 05:37:57,5.4112,100.3354,91.35,62,20,10.0
259,Nikolskoye,RU,2021-05-30 05:37:58,59.7035,30.7861,51.4,44,3,7.83
260,Bandarbeyla,SO,2021-05-30 05:37:58,9.4942,50.8122,86.86,57,5,21.74
261,Killybegs,IE,2021-05-30 05:37:58,54.6333,-8.45,52.57,89,0,6.51
262,Sisimiut,GL,2021-05-30 05:37:59,66.9395,-53.6735,38.37,66,16,3.56
263,Portland,US,2021-05-30 05:35:14,45.5234,-122.6762,69.84,40,1,1.66
264,Tagusao,PH,2021-05-30 05:37:59,9.1924,117.8141,85.86,69,80,8.21
265,Inhambane,MZ,2021-05-30 05:37:59,-23.865,35.3833,67.98,94,75,0.0
266,Harbour Breton,CA,2021-05-30 05:37:59,47.4833,-55.7983,40.48,91,100,14.7
267,Naze,JP,2021-05-30 05:38:00,28.3667,129.4833,76.12,81,100,11.36
268,Grindavik,IS,2021-05-30 05:38:00,63.8424,-22.4338,48.15,100,90,27.58
269,Lufilufi,WS,2021-05-30 05:35:30,-13.8745,-171.5986,82.18,70,54,16.75
270,Svetlyy,RU,2021-05-30 05:35:30,54.675,20.1347,55.45,75,34,12.39
271,Ust-Maya,RU,2021-05-30 05:38:00,60.4167,134.5333,66.06,41,99,11.63
272,Muscat,OM,2021-05-30 05:38:00,23.6139,58.5922,109.42,31,8,3.33
273,Broken Hill,AU,2021-05-30 05:38:01,-31.95,141.4333,62.31,22,0,3.44
274,Saint-Augustin,CA,2021-05-30 05:38:01,51.226,-58.6502,43.0,65,11,3.98
275,Lukovetskiy,RU,2021-05-30 05:38:01,64.2956,41.9211,42.78,54,43,8.43
276,Buala,SB,2021-05-30 05:38:01,-8.145,159.5921,80.42,84,78,4.32
277,Adrar,MR,2021-05-30 05:38:02,20.5022,-10.0711,88.99,18,98,3.44
278,Coahuayana,MX,2021-05-30 05:38:02,18.7333,-103.6833,74.93,69,97,2.39
279,Richards Bay,ZA,2021-05-30 05:38:02,-28.783,32.0377,67.39,73,45,14.76
280,Kidal,ML,2021-05-30 05:38:02,18.4411,1.4078,89.73,6,97,6.22
281,Touros,BR,2021-05-30 05:38:03,-5.1989,-35.4608,74.3,87,52,10.96
282,Manutuke,NZ,2021-05-30 05:38:03,-38.6833,177.9167,50.99,84,53,6.31
283,Tonota,BW,2021-05-30 05:38:03,-21.4833,27.4833,59.67,29,1,3.29
284,Kyra,RU,2021-05-30 05:38:03,49.5776,111.9753,50.97,50,100,4.07
285,Atar,MR,2021-05-30 05:38:04,20.5169,-13.0499,82.99,26,98,12.73
286,Morro Bay,US,2021-05-30 05:38:04,35.3658,-120.8499,58.39,88,37,1.99
287,Mount Gambier,AU,2021-05-30 05:38:04,-37.8333,140.7667,57.11,58,8,5.75
288,Jumla,NP,2021-05-30 05:38:04,29.2747,82.1838,66.58,71,62,5.59
289,Vikhorevka,RU,2021-05-30 05:38:05,56.1201,101.1636,42.24,59,100,9.62
290,Alappuzha,IN,2021-05-30 05:38:05,9.49,76.3264,83.55,74,43,12.01
291,Puerto Ayacucho,VE,2021-05-30 05:38:05,5.6639,-67.6236,75.02,90,77,3.04
292,Thompson,CA,2021-05-30 05:38:05,55.7435,-97.8558,41.16,100,90,12.66
293,Zinder,NE,2021-05-30 05:38:05,13.8072,8.9881,80.56,57,5,0.0
294,Faanui,PF,2021-05-30 05:38:06,-16.4833,-151.75,80.85,73,48,11.32
295,Luderitz,NA,2021-05-30 05:38:06,-26.6481,15.1594,59.18,56,61,11.77
