City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description,Date
380,Panaba,21.2833,-88.2667,79.68,72,98,10.69,MX,overcast clouds,2021-06-06 03:18:08
381,Lamu,-2.2717,40.902,76.69,84,54,15.79,KE,light rain,2021-06-06 03:18:08
382,Gambela,8.25,34.5833,69.3,93,77,4.54,ET,light rain,2021-06-06 03:16:20
383,Severo-Yeniseyskiy,60.3725,93.0408,41.88,62,93,12.66,RU,overcast clouds,2021-06-06 03:14:33
384,Pavino,59.1139,46.1414,59.88,65,9,2.17,RU,clear sky,2021-06-06 03:15:47
385,Kalmunai,7.4167,81.8167,82.04,73,97,3.11,LK,overcast clouds,2021-06-06 03:15:41
386,Odweyne,9.4092,45.064,71.13,59,1,5.57,SO,clear sky,2021-06-06 03:18:08
387,Puri,19.8,85.85,90.12,75,6,20.22,IN,clear sky,2021-06-06 03:18:09
388,Phek,25.6667,94.5,60.76,95,100,1.52,IN,overcast clouds,2021-06-06 03:18:09
389,Flinders,-34.5833,150.8552,69.19,49,5,1.01,AU,clear sky,2021-06-06 03:18:09
390,Darhan,49.4867,105.9228,76.55,44,100,5.1,MN,overcast clouds,2021-06-06 03:18:09
391,Sipovo,44.2814,17.0839,56.43,90,2,4.83,BA,clear sky,2021-06-06 03:18:10
392,Luau,-10.7073,22.2247,55.94,70,84,4.0,AO,broken clouds,2021-06-06 03:04:15
393,Sao Joao Da Barra,-21.6403,-41.0511,72.18,88,0,9.89,BR,clear sky,2021-06-06 03:16:12
394,Ahipara,-35.1667,173.1667,58.35,92,100,16.4,NZ,moderate rain,2021-06-06 03:18:10
395,Deogarh,21.5333,84.7333,94.26,41,8,5.77,IN,clear sky,2021-06-06 03:18:10
396,Ningxiang,37.34,111.2052,84.88,13,78,13.33,CN,broken clouds,2021-06-06 03:18:10
397,Livingston,55.9029,-3.5226,53.13,81,0,6.02,GB,clear sky,2021-06-06 03:18:11
398,Mudgee,-32.5943,149.5871,59.61,55,0,4.61,AU,clear sky,2021-06-06 03:18:11
399,Morehead,37.2711,-87.1764,73.83,87,1,0.0,US,clear sky,2021-06-06 03:18:11
400,Abomsa,9.9833,39.9833,71.08,36,46,5.68,ET,scattered clouds,2021-06-06 03:18:11
401,Gorontalo,0.5412,123.0595,87.6,62,21,8.46,ID,few clouds,2021-06-06 03:18:12
402,Kembe,4.6228,21.8865,68.07,99,100,1.45,CF,moderate rain,2021-06-06 03:18:12
403,Sur,22.5667,59.5289,88.36,59,38,5.32,OM,scattered clouds,2021-06-06 03:15:40
404,Fairbanks,64.8378,-147.7164,72.61,41,1,13.8,US,clear sky,2021-06-06 03:10:05
405,Looc,12.2605,121.9926,82.29,75,100,15.41,PH,overcast clouds,2021-06-06 03:18:12
406,Carutapera,-1.195,-46.02,75.36,90,81,3.89,BR,broken clouds,2021-06-06 03:18:12
407,Grants Pass,42.439,-123.3284,67.51,47,1,5.99,US,clear sky,2021-06-06 03:15:50
408,Ambilobe,-13.2,49.05,69.53,95,93,3.44,MG,overcast clouds,2021-06-06 03:18:13
409,Saint-Augustin,51.226,-58.6502,51.87,98,100,11.07,CA,overcast clouds,2021-06-06 03:18:13
410,Bara,10.3744,10.7288,78.17,76,90,8.37,NG,overcast clouds,2021-06-06 03:18:13
411,Eyl,7.9803,49.8164,78.57,75,86,15.43,SO,overcast clouds,2021-06-06 03:18:13
412,Norman Wells,65.282,-126.8329,36.54,98,100,7.78,CA,light rain,2021-06-06 03:14:44
413,San Angelo,31.4638,-100.437,78.55,72,1,3.0,US,clear sky,2021-06-06 03:13:24
414,Te Anau,-45.4167,167.7167,47.95,78,14,1.21,NZ,few clouds,2021-06-06 03:14:45
415,Buenaventura,3.8801,-77.0312,75.61,94,85,2.37,CO,overcast clouds,2021-06-06 03:18:14
416,Lindi,-10.0,39.7167,67.71,73,91,6.93,TZ,overcast clouds,2021-06-06 03:18:14
417,Ngunguru,-35.6167,174.5,62.17,85,100,16.73,NZ,moderate rain,2021-06-06 03:18:14
418,Margate,51.3813,1.3862,58.21,83,8,5.55,GB,clear sky,2021-06-06 03:18:14
419,Almaznyy,48.0448,40.045,57.34,92,28,6.33,RU,scattered clouds,2021-06-06 03:18:15
420,Xining,36.6167,101.7667,59.79,51,100,10.51,CN,light rain,2021-06-06 03:18:15
421,Axim,4.8699,-2.2405,77.05,88,54,4.43,GH,moderate rain,2021-06-06 03:14:42
422,Jawhar,2.7809,45.5005,74.43,90,40,9.53,SO,scattered clouds,2021-06-06 03:18:15
