City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description,Date
60,Paita,-5.0892,-81.1144,73.96,72,100,10.74,PE,overcast clouds,2021-06-06 15:46:24
61,Cabra,37.4725,-4.4421,90.84,24,0,6.55,ES,clear sky,2021-06-06 15:46:24
62,Svetlaya,46.5389,138.3297,50.16,92,56,5.64,RU,broken clouds,2021-06-06 15:46:24
63,Wukari,7.85,9.7833,89.49,53,74,6.91,NG,broken clouds,2021-06-06 15:46:24
64,Codrington,-38.2667,141.9667,55.17,72,100,16.84,AU,overcast clouds,2021-06-06 15:46:25
65,Constitucion,-35.3333,-72.4167,54.95,50,92,5.06,CL,overcast clouds,2021-06-06 15:46:25
66,Iracoubo,5.4802,-53.2011,76.86,89,87,11.32,GF,overcast clouds,2021-06-06 15:46:25
67,Krasnyy Yar,46.5331,48.3456,76.96,39,58,9.37,RU,broken clouds,2021-06-06 15:46:25
68,Kodiak,57.79,-152.4072,53.11,50,1,16.11,US,clear sky,2021-06-06 15:46:26
69,Dicabisagan,17.0818,122.4157,80.53,88,100,5.28,PH,overcast clouds,2021-06-06 15:46:26
70,Nahan,30.55,77.3,83.07,40,32,7.56,IN,scattered clouds,2021-06-06 15:46:26
71,Yabrud,33.9674,36.6574,78.46,27,0,7.83,SY,clear sky,2021-06-06 15:46:26
72,Thompson,55.7435,-97.8558,55.56,88,90,3.44,CA,overcast clouds,2021-06-06 15:43:13
73,Provideniya,64.3833,-173.3,36.48,74,14,4.83,RU,few clouds,2021-06-06 15:46:27
74,Cherskiy,68.75,161.3,59.2,52,38,12.35,RU,scattered clouds,2021-06-06 15:46:27
75,Acapulco,16.8634,-99.8901,85.82,66,40,5.41,MX,scattered clouds,2021-06-06 15:43:44
76,Nantucket,41.2835,-70.0995,87.91,90,9,13.76,US,clear sky,2021-06-06 15:46:27
77,Oussouye,12.485,-16.5469,93.38,54,42,12.15,SN,scattered clouds,2021-06-06 15:46:27
78,Chimoio,-19.1164,33.4833,62.46,72,40,5.99,MZ,scattered clouds,2021-06-06 15:46:28
79,Kalevala,65.2,31.1667,63.75,44,73,7.67,RU,broken clouds,2021-06-06 15:46:28
80,Santa Maria,-29.6842,-53.8069,60.1,94,90,8.05,BR,light intensity drizzle,2021-06-06 15:43:41
81,Upernavik,72.7868,-56.1549,36.86,82,14,3.58,GL,few clouds,2021-06-06 15:46:28
82,Esperance,-33.8667,121.9,57.04,69,57,25.93,AU,light rain,2021-06-06 15:46:28
83,Dikson,73.5069,80.5464,30.72,88,100,11.79,RU,overcast clouds,2021-06-06 15:46:29
84,Poltavka,54.3663,71.7632,63.12,42,2,4.34,RU,clear sky,2021-06-06 15:46:29
85,Abdulino,53.7,53.6667,63.81,60,35,3.44,RU,scattered clouds,2021-06-06 15:46:29
86,Hobart,-42.8794,147.3294,53.26,86,75,1.01,AU,broken clouds,2021-06-06 15:46:29
87,Faanui,-16.4833,-151.75,80.56,72,2,11.88,PF,clear sky,2021-06-06 15:46:30
88,Busselton,-33.65,115.3333,51.08,71,28,8.52,AU,scattered clouds,2021-06-06 15:46:30
89,Zasosna,50.6307,38.3965,64.06,82,20,4.9,RU,few clouds,2021-06-06 15:46:30
90,Brigantine,39.4101,-74.3646,91.27,60,1,11.54,US,clear sky,2021-06-06 15:46:30
91,Bahia Honda,22.9036,-83.1592,88.0,60,49,7.16,CU,scattered clouds,2021-06-06 15:46:31
92,Hofn,64.2539,-15.2082,50.02,93,90,11.5,IS,mist,2021-06-06 15:46:31
93,Chegdomyn,51.1167,133.0167,50.18,72,16,3.87,RU,few clouds,2021-06-06 15:46:31
94,Hasaki,35.7333,140.8333,66.6,90,100,4.9,JP,overcast clouds,2021-06-06 15:46:31
95,Ancud,-41.8697,-73.8203,50.23,77,100,9.37,CL,overcast clouds,2021-06-06 15:46:32
96,Margate,51.3813,1.3862,71.74,81,38,7.45,GB,scattered clouds,2021-06-06 15:46:32
97,Road Town,18.4167,-64.6167,84.29,78,20,11.5,VG,few clouds,2021-06-06 15:42:25
98,Bulungu,-4.55,18.6,84.85,43,45,4.36,CD,scattered clouds,2021-06-06 15:46:32
99,Sao Filipe,14.8961,-24.4956,76.87,66,64,9.75,CV,broken clouds,2021-06-06 15:46:32
100,Husavik,66.0449,-17.3389,58.91,60,65,10.65,IS,broken clouds,2021-06-06 15:44:22
101,Nianzishan,47.5167,122.8833,58.98,53,0,2.51,CN,clear sky,2021-06-06 15:46:33
102,Cabo San Lucas,22.8909,-109.9124,94.8,51,43,5.01,MX,scattered clouds,2021-06-06 15:44:11
103,Saldanha,-33.0117,17.9442,78.85,46,31,11.7,ZA,scattered clouds,2021-06-06 15:46:33
104,Kyzyl-Suu,42.3414,78.0056,59.0,71,100,8.37,KG,overcast clouds,2021-06-06 15:46:33
105,Arraial Do Cabo,-22.9661,-42.0278,84.16,58,0,13.8,BR,clear sky,2021-06-06 15:46:33
106,Muslyumovo,55.3033,53.1947,64.78,61,6,3.53,RU,clear sky,2021-06-06 15:46:34
107,Iqaluit,63.7506,-68.5145,33.53,93,75,5.01,CA,broken clouds,2021-06-06 15:44:43
108,Primorsko-Akhtarsk,46.0497,38.1747,66.04,67,100,17.38,RU,overcast clouds,2021-06-06 15:46:34
109,Heishan,41.6892,122.1128,66.13,53,0,3.83,CN,clear sky,2021-06-06 15:46:34
110,Georgetown,5.4112,100.3354,82.33,85,20,2.3,MY,few clouds,2021-06-06 15:46:34
111,Baykit,61.67,96.37,33.84,72,16,1.43,RU,few clouds,2021-06-06 15:43:37
112,Klaksvik,62.2266,-6.589,49.12,92,100,19.22,FO,overcast clouds,2021-06-06 15:46:35
113,Angra Dos Reis,-23.0067,-44.3181,82.36,45,100,1.86,BR,overcast clouds,2021-06-06 15:44:14
114,Bandarbeyla,9.4942,50.8122,80.82,80,4,29.68,SO,clear sky,2021-06-06 15:46:35
115,Turukhansk,65.8167,87.9833,36.41,84,87,2.62,RU,overcast clouds,2021-06-06 15:46:35
116,Bacabal,-4.2917,-44.7917,88.56,48,5,5.7,BR,clear sky,2021-06-06 15:46:36
117,Mar Del Plata,-38.0023,-57.5575,57.0,63,0,5.01,AR,clear sky,2021-06-06 15:42:24
118,Elizabeth City,36.2946,-76.2511,90.0,74,1,4.0,US,clear sky,2021-06-06 15:46:12
119,Bredasdorp,-34.5322,20.0403,74.52,29,11,6.49,ZA,few clouds,2021-06-06 15:42:57
120,Salinas,36.6777,-121.6555,59.61,77,90,3.44,US,overcast clouds,2021-06-06 15:44:56
121,Maicao,11.3832,-72.2432,84.6,65,100,14.47,CO,overcast clouds,2021-06-06 15:46:36
122,Grindavik,63.8424,-22.4338,50.47,81,90,15.41,IS,light rain,2021-06-06 15:46:36
123,Chuy,-33.6971,-53.4616,58.23,64,100,6.58,UY,overcast clouds,2021-06-06 15:46:37
